epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,150.455,3.61971,0,0.14857,3.60458,0.000253124,8.43745e-05,0.000253124,8.43745e-05,0.000253124,8.43745e-05,0.000253124,8.43745e-05
2,236.119,3.58323,0.01143,0.18286,3.52418,0.000488962,0.000162987,0.000488962,0.000162987,0.000488962,0.000162987,0.000488962,0.000162987
3,302.233,3.51729,0.03429,0.26857,3.4315,0.000704526,0.000234842,0.000704526,0.000234842,0.000704526,0.000234842,0.000704526,0.000234842
4,360.532,3.3943,0.09714,0.38286,3.31532,0.000676762,0.000225587,0.000676762,0.000225587,0.000676762,0.000225587,0.000676762,0.000225587
5,419.061,3.27598,0.16,0.45143,3.21382,0.000646349,0.00021545,0.000646349,0.00021545,0.000646349,0.00021545,0.000646349,0.00021545
6,477.612,3.15417,0.21143,0.45714,3.09338,0.000615936,0.000205312,0.000615936,0.000205312,0.000615936,0.000205312,0.000615936,0.000205312
7,538.583,3.05402,0.26286,0.49714,3.017,0.000585523,0.000195174,0.000585523,0.000195174,0.000585523,0.000195174,0.000585523,0.000195174
8,599.067,2.97794,0.28571,0.54857,2.92193,0.00055511,0.000185037,0.00055511,0.000185037,0.00055511,0.000185037,0.00055511,0.000185037
9,658.284,2.8788,0.28,0.56571,2.79807,0.000524698,0.000174899,0.000524698,0.000174899,0.000524698,0.000174899,0.000524698,0.000174899
10,717.472,2.80379,0.32571,0.61714,2.79068,0.000494285,0.000164762,0.000494285,0.000164762,0.000494285,0.000164762,0.000494285,0.000164762
11,778.339,2.75311,0.32,0.61714,2.72518,0.000463872,0.000154624,0.000463872,0.000154624,0.000463872,0.000154624,0.000463872,0.000154624
12,837.537,2.69257,0.33143,0.65714,2.63223,0.000433459,0.000144486,0.000433459,0.000144486,0.000433459,0.000144486,0.000433459,0.000144486
13,896.22,2.65714,0.35429,0.66286,2.59084,0.000403046,0.000134349,0.000403046,0.000134349,0.000403046,0.000134349,0.000403046,0.000134349
14,955.186,2.61499,0.34857,0.68,2.5345,0.000372634,0.000124211,0.000372634,0.000124211,0.000372634,0.000124211,0.000372634,0.000124211
15,1016.41,2.56281,0.34857,0.69143,2.54691,0.000342221,0.000114074,0.000342221,0.000114074,0.000342221,0.000114074,0.000342221,0.000114074
16,1076.39,2.55127,0.37714,0.69143,2.494,0.000311808,0.000103936,0.000311808,0.000103936,0.000311808,0.000103936,0.000311808,0.000103936
17,1136.03,2.51774,0.36,0.69714,2.47582,0.000281395,9.37984e-05,0.000281395,9.37984e-05,0.000281395,9.37984e-05,0.000281395,9.37984e-05
18,1197.08,2.48422,0.37143,0.70286,2.49677,0.000250982,8.36608e-05,0.000250982,8.36608e-05,0.000250982,8.36608e-05,0.000250982,8.36608e-05
19,1259.36,2.45786,0.37714,0.70857,2.45787,0.00022057,7.35232e-05,0.00022057,7.35232e-05,0.00022057,7.35232e-05,0.00022057,7.35232e-05
20,1319.41,2.43769,0.37714,0.72,2.40103,0.000190157,6.33856e-05,0.000190157,6.33856e-05,0.000190157,6.33856e-05,0.000190157,6.33856e-05
21,1379.5,2.42471,0.38857,0.72571,2.43598,0.000159744,5.3248e-05,0.000159744,5.3248e-05,0.000159744,5.3248e-05,0.000159744,5.3248e-05
22,1439.96,2.42269,0.36571,0.72571,2.42062,0.000129331,4.31104e-05,0.000129331,4.31104e-05,0.000129331,4.31104e-05,0.000129331,4.31104e-05
23,1502.87,2.41181,0.37714,0.71429,2.40579,9.89184e-05,3.29728e-05,9.89184e-05,3.29728e-05,9.89184e-05,3.29728e-05,9.89184e-05,3.29728e-05
24,1563.49,2.38353,0.38857,0.72,2.35191,6.85056e-05,2.28352e-05,6.85056e-05,2.28352e-05,6.85056e-05,2.28352e-05,6.85056e-05,2.28352e-05
25,1624.74,2.3685,0.36571,0.71429,2.36419,3.80928e-05,1.26976e-05,3.80928e-05,1.26976e-05,3.80928e-05,1.26976e-05,3.80928e-05,1.26976e-05
