epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1703.32,5.40056,0.004,0.026,5.46739,4.8902e-05,1.63007e-05,4.8902e-05,1.63007e-05,4.8902e-05,1.63007e-05,4.8902e-05,1.63007e-05
2,2848.86,5.39966,0.008,0.034,5.44509,7.85174e-05,2.61725e-05,7.85174e-05,2.61725e-05,7.85174e-05,2.61725e-05,7.85174e-05,2.61725e-05
3,3338.9,5.38234,0.005,0.031,5.41312,8.87288e-05,2.95763e-05,8.87288e-05,2.95763e-05,8.87288e-05,2.95763e-05,8.87288e-05,2.95763e-05
4,3739.19,5.35908,0.006,0.035,5.38611,5.9682e-05,1.9894e-05,5.9682e-05,1.9894e-05,5.9682e-05,1.9894e-05,5.9682e-05,1.9894e-05
5,4120.68,5.34381,0.008,0.037,5.38703,3.0576e-05,1.0192e-05,3.0576e-05,1.0192e-05,3.0576e-05,1.0192e-05,3.0576e-05,1.0192e-05
