epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
41,3695.18,2.34939,0.34857,0.68571,2.35018,0.000159744,5.3248e-05,0.000159744,5.3248e-05,0.000159744,5.3248e-05,0.000159744,5.3248e-05
42,3785.43,2.33034,0.38857,0.71429,2.28203,0.000144538,4.81792e-05,0.000144538,4.81792e-05,0.000144538,4.81792e-05,0.000144538,4.81792e-05
43,3878.05,2.31382,0.4,0.72,2.24581,0.000129331,4.31104e-05,0.000129331,4.31104e-05,0.000129331,4.31104e-05,0.000129331,4.31104e-05
44,4137.51,2.31561,0.36571,0.71429,2.28408,0.000114125,3.80416e-05,0.000114125,3.80416e-05,0.000114125,3.80416e-05,0.000114125,3.80416e-05
45,4406.32,2.32316,0.41714,0.71429,2.24731,9.89184e-05,3.29728e-05,9.89184e-05,3.29728e-05,9.89184e-05,3.29728e-05,9.89184e-05,3.29728e-05
46,4674.97,2.3265,0.39429,0.71429,2.25195,8.3712e-05,2.7904e-05,8.3712e-05,2.7904e-05,8.3712e-05,2.7904e-05,8.3712e-05,2.7904e-05
47,4947.3,2.32442,0.42286,0.73714,2.20547,6.85056e-05,2.28352e-05,6.85056e-05,2.28352e-05,6.85056e-05,2.28352e-05,6.85056e-05,2.28352e-05
48,5220.28,2.29993,0.38857,0.70857,2.25177,5.32992e-05,1.77664e-05,5.32992e-05,1.77664e-05,5.32992e-05,1.77664e-05,5.32992e-05,1.77664e-05
49,5501.97,2.34243,0.37143,0.71429,2.27493,3.80928e-05,1.26976e-05,3.80928e-05,1.26976e-05,3.80928e-05,1.26976e-05,3.80928e-05,1.26976e-05
50,5793.08,2.31289,0.38857,0.73714,2.21918,2.28864e-05,7.6288e-06,2.28864e-05,7.6288e-06,2.28864e-05,7.6288e-06,2.28864e-05,7.6288e-06
